t,true_x,true_y,true_yaw,gps_x,gps_y,est_x,est_y,est_yaw
2.52,2.52,0,0,2.51137,-0.0282477,2.53412,-0.0494635,-0.0435113
2.53,2.53,0,0,2.51818,-0.0123548,2.54435,-0.0499089,-0.0435227
2.54,2.54,0,0,2.52387,0.00910334,2.55458,-0.0503544,-0.0433925
2.55,2.55,0,0,2.59818,0.0468738,2.56481,-0.0507984,-0.0434375
2.56,2.56,0,0,2.56245,0.0391967,2.57504,-0.0512433,-0.0433306
2.57,2.57,0,0,2.55252,-0.00513748,2.58527,-0.0516867,-0.0432306
2.58,2.58,0,0,2.59367,-0.0324511,2.59548,-0.0521285,-0.0431024
2.59,2.59,0,0,2.60069,0.00146025,2.6057,-0.0525693,-0.0429924
2.6,2.6,0,0,2.61286,0.00591901,2.61388,-0.0134891,-0.00636331
2.61,2.61,0,0,2.52858,-0.023985,2.62409,-0.0135541,-0.00656355
2.62,2.62,0,0,2.61177,-0.0299794,2.6343,-0.013621,-0.00652691
2.63,2.63,0,0,2.59792,-0.0580956,2.64449,-0.0136876,-0.006599
2.64,2.64,0,0,2.64387,-0.0146694,2.65468,-0.0137548,-0.00659194
2.65,2.65,0,0,2.64547,-0.00710997,2.66488,-0.0138221,-0.00663999
2.66,2.66,0,0,2.67627,0.0376307,2.67509,-0.0138899,-0.00665122
2.67,2.67,0,0,2.65328,-0.031921,2.68531,-0.0139578,-0.0066951
2.68,2.68,0,0,2.6941,0.0574414,2.69551,-0.0140261,-0.0066852
2.69,2.69,0,0,2.64986,0.0165468,2.70571,-0.0140944,-0.00651823
2.7,2.7,0,0,2.69397,-0.00425087,2.70122,-0.00751558,-0.000651711
2.71,2.71,0,0,2.70093,0.00670533,2.71129,-0.00752214,-0.0005251
2.72,2.72,0,0,2.74527,-0.0108815,2.72135,-0.00752742,-0.00035308
2.73,2.73,0,0,2.71508,-0.0206551,2.73141,-0.00753098,-0.000410253
2.74,2.74,0,0,2.71337,0.00344607,2.74148,-0.00753511,-0.000224251
2.75,2.75,0,0,2.7259,-0.0638993,2.75156,-0.00753737,-0.000244292
2.76,2.76,0,0,2.79812,-0.0212192,2.76162,-0.00753983,-0.0002445
2.77,2.77,0,0,2.77146,0.0287057,2.77166,-0.00754229,-0.000165995
2.78,2.78,0,0,2.80367,-0.00815736,2.78171,-0.00754396,-0.000254741
2.79,2.79,0,0,2.83068,-0.0238368,2.79176,-0.00754652,-0.000223942
2.8,2.8,0,0,2.79973,0.00909369,2.80041,0.00360003,0.0100718
2.81,2.81,0,0,2.79494,0.0167607,2.81044,0.00370101,0.0100168
2.82,2.82,0,0,2.8283,0.0219642,2.82045,0.00380129,0.00993793
2.83,2.83,0,0,2.78128,0.00484689,2.83046,0.00390077,0.00997046
2.84,2.84,0,0,2.85342,-0.0364178,2.84047,0.00400058,0.0100355
2.85,2.85,0,0,2.83569,0.0199935,2.85048,0.00410111,0.0101186
2.86,2.86,0,0,2.85327,-0.0178253,2.8605,0.00420249,0.0100386
2.87,2.87,0,0,2.85491,0.0433199,2.87052,0.00430299,0.0100403
2.88,2.88,0,0,2.90578,0.0103853,2.88053,0.00440356,0.0100022
2.89,2.89,0,0,2.88285,-0.0304121,2.89054,0.00450366,0.00988988
2.9,2.9,0,0,2.91165,-0.0208926,2.90798,-0.0124659,-0.00562691
2.91,2.91,0,0,2.97125,0.0282694,2.91806,-0.0125226,-0.00558976
2.92,2.92,0,0,2.86899,0.0158491,2.92812,-0.0125789,-0.00559372
2.93,2.93,0,0,2.89406,-0.0381948,2.93817,-0.0126351,-0.00555748
2.94,2.94,0,0,2.96557,-0.0205355,2.94821,-0.0126909,-0.00570521
2.95,2.95,0,0,3.00166,-0.00252778,2.95825,-0.0127482,-0.00575441
2.96,2.96,0,0,2.95773,0.0262652,2.96827,-0.0128059,-0.00570794
2.97,2.97,0,0,2.96767,0.0190362,2.9783,-0.0128631,-0.00572197
2.98,2.98,0,0,3.00182,-0.0202266,2.98831,-0.0129204,-0.00566041
2.99,2.99,0,0,3.0142,0.00618149,2.99833,-0.0129771,-0.00566103
3,3,0,0,2.98312,0.0683475,2.99146,0.0414455,0.0434239
3.01,3.01,0,0,3.01894,0.00866197,3.00131,0.0418737,0.043677
3.02,3.02,0,0,3.00475,-0.00345519,3.01115,0.0423037,0.0436603
3.03,3.03,0,0,3.06115,0.00259103,3.02099,0.0427338,0.0436171
3.04,3.04,0,0,3.06274,-0.00261647,3.03083,0.0431633,0.0436428
3.05,3.05,0,0,3.01454,0.0250648,3.04068,0.0435932,0.0436909
3.06,3.06,0,0,3.04869,0.0172734,3.05053,0.0440238,0.0437472
3.07,3.07,0,0,3.10396,0.0659729,3.06037,0.0444546,0.0437888
3.08,3.08,0,0,3.13346,-0.0319555,3.07022,0.0448863,0.0437233
