t,true_x,true_y,true_yaw,gps_x,gps_y,est_x,est_y,est_yaw
3.14,3.14,0,0,3.13183,-0.00224733,3.1424,0.0554199,0.052077
3.15,3.15,0,0,3.13787,0.00388234,3.15231,0.0559364,0.0520934
3.16,3.16,0,0,3.13403,0.00625066,3.16223,0.0564538,0.0520535
3.17,3.17,0,0,3.14185,0.00425583,3.17215,0.0569708,0.0521804
3.18,3.18,0,0,3.17554,0.0220917,3.18208,0.057489,0.0521758
3.19,3.19,0,0,3.19138,-0.00152557,3.192,0.0580071,0.0520683
3.2,3.2,0,0,3.20043,0.00468564,3.20091,0.0225062,0.0192181
3.21,3.21,0,0,3.17196,0.00369987,3.21079,0.0226961,0.0192659
3.22,3.22,0,0,3.1942,0.0167052,3.22068,0.0228867,0.0192267
3.23,3.23,0,0,3.19275,0.00498797,3.23058,0.0230769,0.0191835
3.24,3.24,0,0,3.21294,0.0318193,3.24048,0.0232669,0.0191254
3.25,3.25,0,0,3.25254,-0.00253958,3.25039,0.0234566,0.0191033
3.26,3.26,0,0,3.20934,0.0342648,3.26031,0.0236461,0.0190083
3.27,3.27,0,0,3.27484,-0.0118439,3.27024,0.0238347,0.0191781
3.28,3.28,0,0,3.27844,0.0492458,3.28015,0.0240248,0.0191878
3.29,3.29,0,0,3.35247,-0.0347196,3.29009,0.0242155,0.0192884
3.3,3.3,0,0,3.23401,-0.0513732,3.25584,-0.0262904,-0.0257132
3.31,3.31,0,0,3.2793,-0.0238328,3.26537,-0.0265353,-0.0255668
3.32,3.32,0,0,3.38719,0.0138021,3.2749,-0.0267791,-0.0256466
3.33,3.33,0,0,3.37341,0.00422817,3.28444,-0.0270239,-0.0257265
